index,neighborhood,MarijuanaCrimes
0,Allston,1378
1,Allston / Brighton,13886
2,Back Bay,44642
3,Beacon Hill,15561
4,Boston,80196
5,Brighton,1166
6,Charlestown,7020
7,Dorchester,207892
8,Downtown / Financial District,141114
9,East Boston,33264
10,Fenway / Kenmore / Audubon Circle / Longwood,36008
11,Greater Mattapan,19700
12,Hyde Park,10101
13,Jamaica Plain,53764
14,Mattapan,2241
15,Mission Hill,40996
16,Roslindale,5931
17,Roxbury,611935
18,South Boston,9095
19,South Boston / South Boston Waterfront,126367
20,South End,221055
21,West Roxbury,3960
