index,neighborhood,HeroinCrimes
0,Allston,2210
1,Allston / Brighton,22270
2,Back Bay,202201
3,Beacon Hill,29106
4,Boston,238025
5,Brighton,1870
6,Charlestown,22230
7,Dorchester,651286
8,Downtown / Financial District,265137
9,East Boston,51912
10,Fenway / Kenmore / Audubon Circle / Longwood,192786
11,Greater Mattapan,49300
12,Hyde Park,18564
13,Jamaica Plain,173830
14,Mattapan,5175
15,Mission Hill,115989
16,Roslindale,13362
17,Roxbury,2102187
18,South Boston,50745
19,South Boston / South Boston Waterfront,699503
20,South End,1226111
21,West Roxbury,9450
